Potential biomarker;Semantic types;Connected to number of subgraph concepts;Weight points
Bismuth salt;Inorganic Chemical;4;0
MCAM protein, human;Amino Acid, Peptide, or Protein, Immunologic Factor;4;0
Cytidylate kinase;Amino Acid, Peptide, or Protein, Enzyme;4;0
Gamimune;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Immunologic Factor;4;0
IMD 0354;Organic Chemicals;4;0
Ferriprotoporphyrin IX;Organic Chemicals, Biologically Active Substance;4;0
lipid peroxidation inhibitor;Lipid;4;0
Sodium Iodoacetate;Organic Chemicals;4;0
mercurial-insensitive water channel;Amino Acid, Peptide, or Protein;4;0
bovine serum albumin-galactose (39);Amino Acid, Peptide, or Protein, Carbohydrate;4;0
trans-1,2-dihydrobenzene-1,2-diol dehydrogenase;Amino Acid, Peptide, or Protein, Enzyme;4;0
Receptor, EphA4;Amino Acid, Peptide, or Protein, Enzyme, Receptor;4;0
TNF-sR75;Amino Acid, Peptide, or Protein, Receptor;4;0
antigen-specific T cell factors;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
R-Binder;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
vitamin k5;Organic Chemicals, Pharmacologic Substance, Vitamin;4;0
PTTG1 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
BCL2-Interacting Killer;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
FLAVINE;Organic Chemicals;4;0
deaminooxytocin;Amino Acid, Peptide, or Protein, Pharmacologic Substance;4;0
Sik1 protein, rat;Amino Acid, Peptide, or Protein, Enzyme;4;0
CD9 antigen;Amino Acid, Peptide, or Protein, Immunologic Factor;4;0
Glycerate kinase;Amino Acid, Peptide, or Protein, Enzyme;4;0
TRH deamidase;Amino Acid, Peptide, or Protein, Enzyme;4;0
Respiratory syncytial virus antibody;Amino Acid, Peptide, or Protein, Immunologic Factor;4;0
glutamyl aminopeptidase;Amino Acid, Peptide, or Protein, Enzyme;4;0
docosahexaenoyl-coenzyme A;Nucleic Acid, Nucleoside, or Nucleotide, Lipid;4;0
Interleukin 1+2;Amino Acid, Peptide, or Protein;4;0
AC 187;Amino Acid, Peptide, or Protein;4;0
anti-endotoxin antibodies;Amino Acid, Peptide, or Protein, Immunologic Factor;4;0
carbohydrase;Amino Acid, Peptide, or Protein, Enzyme;4;0
prostaglandin-inositol cyclic phosphate;Eicosanoid, Carbohydrate;4;0
atractylenolide I;Organic Chemicals, Biologically Active Substance;4;0
glutathione transporter;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Mercuribenzoates;Organic Chemicals;4;0
Estranes;Steroid;4;0
brown adipose tissue uncoupling protein;Amino Acid, Peptide, or Protein, Pharmacologic Substance;4;0
Hypothalamic Substance P;Amino Acid, Peptide, or Protein, Neuroreactive Substance or Biogenic Amine;4;0
Ribosomal Protein S6 Kinase;Amino Acid, Peptide, or Protein, Enzyme;4;0
undecane;Organic Chemicals;4;0
WILD 20;Lipid, Pharmacologic Substance;4;0
CIS 19;Organic Chemicals;4;0
dinitrophenyl-human serum albumin conjugate;Organic Chemicals;4;0
oxidized-L-alpha-1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphorylcholine;Lipid;4;0
intestinal peptide-proton cotransporter;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
ammonium metavanadate;Inorganic Chemical;4;0
veratramine;Organic Chemicals;4;0
phosphatidylserine receptor;Amino Acid, Peptide, or Protein, Receptor;4;0
Engerix-B;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Immunologic Factor;4;0
basic aluminum carbonate gel;Pharmacologic Substance, Inorganic Chemical;4;0
oligopeptidase B;Amino Acid, Peptide, or Protein, Enzyme;4;0
Benzilates;Organic Chemicals;4;0
TNF receptor-associated factor 5;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
skimmianine;Organic Chemicals;4;0
dihydrolipoamide succinyltransferase;Amino Acid, Peptide, or Protein, Enzyme;4;0
Cytokine Receptor gp130;Amino Acid, Peptide, or Protein, Immunologic Factor, Receptor;4;0
pyoluteorin;Organic Chemicals, Biologically Active Substance;4;0
diolein;Lipid;4;0
rugosin E;Organic Chemicals;4;0
NIMA protein kinase;Amino Acid, Peptide, or Protein, Enzyme;4;0
1-methyl-4-cyclohexyl-1,2,3,6-tetrahydropyridine;Organic Chemicals;4;0
Excitatory Amino Acid Transporter 4;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Shale;Inorganic Chemical;4;0
flavanoid;Organic Chemicals;4;0
Sepharose CL 4B;Carbohydrate;4;0
Epsilon-Polylysine;Amino Acid, Peptide, or Protein;4;0
Ku70 protein;Amino Acid, Peptide, or Protein, Enzyme;4;0
cardiac natriuretic peptide, Salmo salar;Amino Acid, Peptide, or Protein, Hormone;4;0
proteinase B;Amino Acid, Peptide, or Protein, Enzyme;4;0
Lactaldehyde reductase;Amino Acid, Peptide, or Protein, Enzyme;4;0
Voltage-dependent T-type calcium channel subunit alpha-1H;Amino Acid, Peptide, or Protein;4;0
Viral Fusion Proteins;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
RGS16 protein;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
anabolic androgen;Steroid, Pharmacologic Substance, Hormone;4;0
glutarimide;Organic Chemicals;4;0
perillaldehyde;Organic Chemicals;4;0
CD52 antigen;Amino Acid, Peptide, or Protein, Immunologic Factor;4;0
CAME;Organic Chemicals;4;0
pyranose oxidase;Amino Acid, Peptide, or Protein, Enzyme;4;0
sciatin;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
ATP-G-actin;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
PTPRG protein, human;Amino Acid, Peptide, or Protein, Receptor;4;0
18-vinylprogesterone;Steroid;4;0
WAY 100,635;Organic Chemicals;4;0
lipoxin B4;Lipid, Biologically Active Substance;4;0
tilianin;Organic Chemicals;4;0
ucb 30889;Organic Chemicals;4;0
dihydroguaiaretic acid;Organic Chemicals, Biologically Active Substance;4;0
eriodictyol;Organic Chemicals;4;0
Z 103;Amino Acid, Peptide, or Protein, Pharmacologic Substance;4;0
chemotactic factor inactivator;Amino Acid, Peptide, or Protein, Enzyme;4;0
Pro-X dipeptidase;Amino Acid, Peptide, or Protein, Enzyme;4;0
transcription factor PEA3;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
prorennin;Amino Acid, Peptide, or Protein, Enzyme;4;0
prosecretin;Amino Acid, Peptide, or Protein;4;0
Importins;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Interleukin-1 Receptor-Associated Kinase 2;Amino Acid, Peptide, or Protein, Enzyme;4;0
pituitary protein 7B2;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
1,2-distearoyllecithin;Lipid, Biologically Active Substance;4;0
Brucella abortus vaccine;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Immunologic Factor;4;0
SS-A antigen;Amino Acid, Peptide, or Protein, Immunologic Factor;4;0
Absent in melanoma 1 protein;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
wheat germ agglutinin receptor;Amino Acid, Peptide, or Protein, Receptor;4;0
methionine sulfone;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Total biopterins;Organic Chemicals;4;0
Glycophorin C;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
insulin, desoctapeptide-;Amino Acid, Peptide, or Protein;4;0
GroEL Protein;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Sodium Taurodeoxycholate;Steroid, Pharmacologic Substance, Biologically Active Substance;4;0
CaM kinase I activator;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Enzyme;4;0
brevin;Amino Acid, Peptide, or Protein;4;0
hnRNP Complexes;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
cyclooxygenase-3;Amino Acid, Peptide, or Protein, Enzyme;4;0
ilmofosine;Lipid, Pharmacologic Substance;4;0
fucogangliosides;Lipid;4;0
Chromoprotein;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
lysophosphatidylglycerol;Lipid;4;0
delta-Globins;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Solute carrier family 22 member 3;Amino Acid, Peptide, or Protein;4;0
dichloroacetonitrile;Organic Chemicals;4;0
Integrin alpha-1;Amino Acid, Peptide, or Protein;4;0
Integrin alpha-1;Amino Acid, Peptide, or Protein;4;0
Integrin alpha-1;Amino Acid, Peptide, or Protein;4;0
plicatic acid;Organic Chemicals;4;0
Ventricular alpha-Myosin;Amino Acid, Peptide, or Protein, Enzyme;4;0
tryptophan tryptophylquinone;Organic Chemicals;4;0
deoxyribonucleoside kinases;Amino Acid, Peptide, or Protein, Enzyme;4;0
syntaxin binding protein 1;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
lamin B2;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
glycoprotein E2, Hepatitis C virus;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
poly(n-octyl methacrylate);Organic Chemicals;4;0
TNFAIP3 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
scotophobin;Amino Acid, Peptide, or Protein;4;0
cellulose triacetate;Carbohydrate;4;0
SU 1498;Organic Chemicals;4;0
1,6-anhydro-beta-glucopyranose;Organic Chemicals;4;0
1-hexanamine-6-(2-hydroxy-1-methyl-2-nitrosohydrazine)-N-methyl;Organic Chemicals;4;0
NID2 protein, human;Amino Acid, Peptide, or Protein;4;0
alpha-hydrazinohistidine;Amino Acid, Peptide, or Protein, Pharmacologic Substance;4;0
Lysosome-Associated Membrane Glycoproteins;Amino Acid, Peptide, or Protein, Immunologic Factor;4;0
Vitellins;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
embryonic protein;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
caldecrin;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Enzyme;4;0
T4 DNA Ligase;Amino Acid, Peptide, or Protein, Enzyme;4;0
Elastica;Organic Chemicals;4;0
methylmalonyl-coenzyme A;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
6 beta-hydroxynaltrexone;Organic Chemicals, Biologically Active Substance;4;0
isopropanol dehydrogenase (NADP);Amino Acid, Peptide, or Protein, Enzyme;4;0
patchouli alcohol;Organic Chemicals;4;0
lenograstim;Amino Acid, Peptide, or Protein, Pharmacologic Substance;4;0
tetracycline resistance-encoding transposon repressor protein;Amino Acid, Peptide, or Protein;4;0
Serum amyloid protein;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
gamma-adducin;Amino Acid, Peptide, or Protein;4;0
bacterio-opsin;Amino Acid, Peptide, or Protein;4;0
palmitoyl-protein thioesterase 1;Amino Acid, Peptide, or Protein, Enzyme;4;0
Exoribonucleases;Amino Acid, Peptide, or Protein, Enzyme;4;0
Diacylglycerol kinase gamma;Amino Acid, Peptide, or Protein;4;0
salicylaldehyde;Organic Chemicals;4;0
atractylenolide III;Organic Chemicals, Biologically Active Substance;4;0
vitamin D-binding protein-macrophage activating factor;Amino Acid, Peptide, or Protein;4;0
Plasma membrane calcium-transporting ATPase 1;Amino Acid, Peptide, or Protein;4;0
Enterovirus antibody;Amino Acid, Peptide, or Protein, Immunologic Factor;4;0
alpha-bag cell peptide;Amino Acid, Peptide, or Protein, Pharmacologic Substance;4;0
Mabthera;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Immunologic Factor;4;0
ADORA2B protein, human;Amino Acid, Peptide, or Protein, Receptor;4;0
sophocarpine;Organic Chemicals;4;0
hCG-iodo;Amino Acid, Peptide, or Protein;4;0
Hydroxyapatites;Inorganic Chemical;4;0
Collagen Type XI;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
1-alkylglycerophosphocholine acetyltransferase;Amino Acid, Peptide, or Protein, Enzyme;4;0
sperm ganglioside 1;Lipid;4;0
Gluconolactonase;Amino Acid, Peptide, or Protein, Enzyme;4;0
glucan sulfate;Carbohydrate;4;0
Prolactin-Releasing Peptide PrRP31;Amino Acid, Peptide, or Protein;4;0
Preproopiomelanocortin;Amino Acid, Peptide, or Protein;4;0
Prephenate Dehydrogenase;Amino Acid, Peptide, or Protein, Enzyme;4;0
Sodium/calcium exchanger 2;Amino Acid, Peptide, or Protein;4;0
Sodium/calcium exchanger 3;Amino Acid, Peptide, or Protein;4;0
Sodium/calcium exchanger 3;Amino Acid, Peptide, or Protein;4;0
calcineurin phosphatase;Amino Acid, Peptide, or Protein, Enzyme;4;0
bactenecin;Amino Acid, Peptide, or Protein, Pharmacologic Substance;4;0
butyrylcholine;Organic Chemicals;4;0
RNP antigen;Amino Acid, Peptide, or Protein, Immunologic Factor;4;0
NPC 15669;Amino Acid, Peptide, or Protein, Pharmacologic Substance;4;0
hybrid antibody;Amino Acid, Peptide, or Protein, Immunologic Factor;4;0
xylosides;Carbohydrate;4;0
Synuclein Family;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
4-ipomeanol;Organic Chemicals, Biologically Active Substance;4;0
gramine;Organic Chemicals;4;0
Nitric oxide synthase, endothelial;Amino Acid, Peptide, or Protein;4;0
Ectonucleotide pyrophosphatase/phosphodiesterase family member 2;Amino Acid, Peptide, or Protein;4;0
Ectonucleotide pyrophosphatase/phosphodiesterase family member 2;Amino Acid, Peptide, or Protein;4;0
Ectonucleotide pyrophosphatase/phosphodiesterase family member 2;Amino Acid, Peptide, or Protein;4;0
ATP binding cassette transporter 1;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
O-acetylserine;Amino Acid, Peptide, or Protein;4;0
pancreatic elastase II;Amino Acid, Peptide, or Protein, Enzyme;4;0
deoxyguanosine triphosphate;Nucleic Acid, Nucleoside, or Nucleotide;4;0
Rhodopsins, Microbial;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Total ketones (substance);Organic Chemicals, Biologically Active Substance;4;0
phosphoglyceroyl-ATP;Nucleic Acid, Nucleoside, or Nucleotide, Carbohydrate;4;0
neuropeptide F, Drosophila;Amino Acid, Peptide, or Protein;4;0
alpha-methyltryptophan, (L)-isomer;Amino Acid, Peptide, or Protein;4;0
MAPK-ERK Kinase Kinases;Amino Acid, Peptide, or Protein, Enzyme;4;0
MA-2;Organic Chemicals;4;0
CD97 Antigen;Amino Acid, Peptide, or Protein, Immunologic Factor;4;0
discoidin-I;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Blood group antibody K (Kell);Amino Acid, Peptide, or Protein, Immunologic Factor;4;0
raspberry ketone;Organic Chemicals;4;0
cellobiose phosphotransferase B;Amino Acid, Peptide, or Protein, Enzyme;4;0
muramylNAc-Ala-isoGln-Lys-tripeptide;Amino Acid, Peptide, or Protein;4;0
taurodehydrocholate;Steroid;4;0
HC toxin;Amino Acid, Peptide, or Protein;4;0
plasmalogen-selective phospholipase A2;Amino Acid, Peptide, or Protein, Enzyme;4;0
AraF protein, E coli;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
insulin, fluorescein-isothiocyanated-;Amino Acid, Peptide, or Protein;4;0
Glutamate receptor ionotropic, NMDA 3A;Amino Acid, Peptide, or Protein;4;0
Glutamate receptor ionotropic, NMDA 3A;Amino Acid, Peptide, or Protein;4;0
Glutamate receptor ionotropic, NMDA 3B;Amino Acid, Peptide, or Protein;4;0
Glutamate receptor ionotropic, NMDA 3B;Amino Acid, Peptide, or Protein;4;0
Alpha-2C adrenergic receptor;Amino Acid, Peptide, or Protein;4;0
heme C;Organic Chemicals;4;0
MC1288;Steroid, Pharmacologic Substance, Hormone;4;0
Aluminum Powder;Pharmacologic Substance, Inorganic Chemical;4;0
aldosterone stimulating factor, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Recombinant Interleukin-17;Amino Acid, Peptide, or Protein, Immunologic Factor;4;0
muscle relaxing factor;Amino Acid, Peptide, or Protein;4;0
Cell Adhesion Molecules, Neuronal;Amino Acid, Peptide, or Protein, Neuroreactive Substance or Biogenic Amine;4;0
Plant glycoside;Carbohydrate, Biologically Active Substance;4;0
bimoclomol;Organic Chemicals;4;0
diguanylate cyclase;Amino Acid, Peptide, or Protein, Enzyme;4;0
melanophilin;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
mucous glycoprotein, gastric;Amino Acid, Peptide, or Protein, Carbohydrate;4;0
white spirit;Organic Chemicals;4;0
6-methylprednisolone-21-hemisuberate N,N,N'-triethylenediamine amide;Steroid;4;0
Polycose;Carbohydrate;4;0
linoleic acid hydroxamate;Lipid, Pharmacologic Substance;4;0
tyrosyl-glycyl-glycine;Amino Acid, Peptide, or Protein;4;0
SLC28A3 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
DNA polymerase, Simplexvirus;Amino Acid, Peptide, or Protein, Enzyme;4;0
5-hydroxytryptamine receptor 5A;Amino Acid, Peptide, or Protein;4;0
Oxoglutarate dehydrogenase (lipoamide);Amino Acid, Peptide, or Protein, Enzyme;4;0
Calcium-dependent adhesion molecule;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Intestinal Membrane Calcium-Binding Protein;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
2-acylglycerol O-acyltransferase;Amino Acid, Peptide, or Protein, Enzyme;4;0
promatrilysin;Amino Acid, Peptide, or Protein, Enzyme;4;0
Sarcosine oxidase;Amino Acid, Peptide, or Protein, Enzyme;4;0
15-ketoprostaglandin F2alpha;Eicosanoid;4;0
5-hydroxytryptamine receptor 5B;Amino Acid, Peptide, or Protein;4;0
Melatonin receptor type 1B;Amino Acid, Peptide, or Protein;4;0
1,2-dimyristoylphosphatidylethanolamine;Lipid;4;0
IgG.heavy chain;Immunologic Factor;4;0
alpha-hederin;Steroid;4;0
phenylalanylalanine;Amino Acid, Peptide, or Protein, Pharmacologic Substance;4;0
Organic Anion Transporters, Sodium-Dependent;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Poly Adenosine Diphosphate Ribose;Nucleic Acid, Nucleoside, or Nucleotide, Carbohydrate;4;0
cardioacceleratory peptide;Amino Acid, Peptide, or Protein, Neuroreactive Substance or Biogenic Amine;4;0
arginyllysine;Amino Acid, Peptide, or Protein;4;0
Helix lectin;Amino Acid, Peptide, or Protein;4;0
pea lectin;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
potassium carbonate;Pharmacologic Substance, Inorganic Chemical;4;0
glutathione S-transferase A2;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Glucosephosphates;Carbohydrate;4;0
iodoglucagon;Amino Acid, Peptide, or Protein;4;0
Methionine gamma-lyase;Amino Acid, Peptide, or Protein, Enzyme;4;0
beta-guanidinopropionic acid;Organic Chemicals;4;0
cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A;Amino Acid, Peptide, or Protein;4;0
Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A;Amino Acid, Peptide, or Protein;4;0
Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A;Amino Acid, Peptide, or Protein;4;0
Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A;Amino Acid, Peptide, or Protein;4;0
cyanidin 3-O-glucoside;Organic Chemicals;4;0
rhodostomin;Amino Acid, Peptide, or Protein, Pharmacologic Substance;4;0
Borrelia burgdorferi antigen;Immunologic Factor;4;0
Carbon 13;Inorganic Chemical;4;0
hemorrhagic factor LHFII;Amino Acid, Peptide, or Protein, Enzyme;4;0
Cyclohexanone monooxygenase;Amino Acid, Peptide, or Protein, Enzyme;4;0
Cellulose 1,4-beta-cellobiosidase;Amino Acid, Peptide, or Protein, Enzyme;4;0
latex allergen;Immunologic Factor;4;0
iodized salt;Inorganic Chemical;4;0
NADH Tetrazolium Reductase;Amino Acid, Peptide, or Protein, Enzyme;4;0
ovarian carbonyl reductase;Amino Acid, Peptide, or Protein, Enzyme;4;0
thyrotropin-releasing hormone, Gly;Amino Acid, Peptide, or Protein;4;0
inorganic sulfur compounds;Inorganic Chemical;4;0
Histidinol dehydrogenase;Amino Acid, Peptide, or Protein, Enzyme;4;0
NADH kinase;Amino Acid, Peptide, or Protein, Enzyme;4;0
S-pentachlorobuta-1,3-dien-yl-cysteine;Organic Chemicals;4;0
anemonin;Organic Chemicals;4;0
alpha 1-antitrypsin-leukocyte elastase complex;Amino Acid, Peptide, or Protein, Enzyme;4;0
Deoxyguanosine kinase;Amino Acid, Peptide, or Protein, Enzyme;4;0
mycosubtiline;Amino Acid, Peptide, or Protein, Lipid, Pharmacologic Substance;4;0
D(1B) dopamine receptor;Amino Acid, Peptide, or Protein;4;0
adipokinetic hormone, beetle;Amino Acid, Peptide, or Protein;4;0
mitochondrial processing peptidase;Amino Acid, Peptide, or Protein, Enzyme;4;0
toll-like receptor 4;Amino Acid, Peptide, or Protein, Receptor;4;0
Oxazines;Organic Chemicals;4;0
peptide V;Amino Acid, Peptide, or Protein;4;0
Androgen-Binding Proteins;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
cytochrome P-450 CYP2B2 (rat);Amino Acid, Peptide, or Protein, Enzyme;4;0
Aldehyde-Lyases;Amino Acid, Peptide, or Protein, Enzyme;4;0
monastrol;Organic Chemicals;4;0
oligopeptidase;Amino Acid, Peptide, or Protein, Enzyme;4;0
heparinase III;Amino Acid, Peptide, or Protein, Enzyme;4;0
Stromelysin-1;Amino Acid, Peptide, or Protein;4;0
Serine-tRNA Ligase;Amino Acid, Peptide, or Protein, Enzyme;4;0
NNC77-0020;Organic Chemicals;4;0
Transcription Factor Brn-3A;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Isoleucine-tRNA Ligase;Amino Acid, Peptide, or Protein, Enzyme;4;0
PGGT1B protein, human;Amino Acid, Peptide, or Protein, Enzyme;4;0
octogen;Organic Chemicals;4;0
phosphocreatinine;Amino Acid, Peptide, or Protein, Pharmacologic Substance;4;0
Kv channel-interacting protein 1;Amino Acid, Peptide, or Protein;4;0
syringomycin;Amino Acid, Peptide, or Protein, Pharmacologic Substance;4;0
Tx3 neurotoxin;Amino Acid, Peptide, or Protein;4;0
dehydroergosterol;Steroid;4;0
xenin 25;Amino Acid, Peptide, or Protein;4;0
arginine ethyl ester;Amino Acid, Peptide, or Protein;4;0
Annexin A2, P90 Complex;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Transient receptor potential cation channel subfamily M member 7;Amino Acid, Peptide, or Protein;4;0
Lactate Dehydrogenases;Amino Acid, Peptide, or Protein, Enzyme;4;0
Neotrofin;Organic Chemicals;4;0
fructose 3-phosphate;Carbohydrate;4;0
HOE 694;Organic Chemicals;4;0
preprovasoactive intestinal peptide;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
glucosyltransferase D;Amino Acid, Peptide, or Protein, Enzyme;4;0
1,2-bis(hexadecyloxy)-3-trimethylaminopropane;Lipid;4;0
tertiary alcohols;Organic Chemicals;4;0
chloroacetate esterase;Amino Acid, Peptide, or Protein, Enzyme;4;0
glycosylation-enhancing factor;Amino Acid, Peptide, or Protein;4;0
laminin gamma 1;Amino Acid, Peptide, or Protein;4;0
sodium-calcium exchanger 1;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
aldosterone secretion inhibitory factor;Amino Acid, Peptide, or Protein, Pharmacologic Substance;4;0
glycosylated collagen;Amino Acid, Peptide, or Protein;4;0
Parathyroid Hormone Receptor 2;Amino Acid, Peptide, or Protein, Receptor;4;0
Scleroproteins;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
polyglucosan;Carbohydrate;4;0
Phospholipid phosphorus;Lipid;4;0
beta-D-xyloside;Carbohydrate;4;0
Protamine Chloride;Amino Acid, Peptide, or Protein, Pharmacologic Substance;4;0
pertussis toxin receptor;Amino Acid, Peptide, or Protein, Receptor;4;0
polydextrose;Carbohydrate;4;0
filamentous hemagglutinin adhesin, Bordetella pertussis;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
norspermidine;Organic Chemicals;4;0
shikimate-3-phosphate;Organic Chemicals;4;0
signal peptide peptidase;Amino Acid, Peptide, or Protein, Enzyme;4;0
erythrocruorin;Amino Acid, Peptide, or Protein;4;0
Gelofusine;Amino Acid, Peptide, or Protein, Pharmacologic Substance;4;0
Peptide Elongation Factor G;Amino Acid, Peptide, or Protein, Enzyme;4;0
felinine;Amino Acid, Peptide, or Protein, Pharmacologic Substance;4;0
pBC 264;Amino Acid, Peptide, or Protein;4;0
SHIMS;Organic Chemicals;4;0
Recombinant Activin;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Hormone;4;0
carboapatite;Organic Chemicals, Biologically Active Substance;4;0
I-E-antigen;Amino Acid, Peptide, or Protein, Immunologic Factor;4;0
bacteriochlorophyll c;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
IFITM1 protein, human;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
20-Hydroxysteroid Dehydrogenases;Amino Acid, Peptide, or Protein, Enzyme;4;0
TOP2B protein, human;Amino Acid, Peptide, or Protein, Enzyme;4;0
sulfate transporter;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
Mung Bean Nuclease;Amino Acid, Peptide, or Protein, Enzyme;4;0
lanthionine;Amino Acid, Peptide, or Protein;4;0
Receptors, Pituitary Hormone-Releasing Hormone;Amino Acid, Peptide, or Protein, Receptor;4;0
Interleukin-17B;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
cGMP-inhibited 3',5'-cyclic phosphodiesterase B;Amino Acid, Peptide, or Protein;4;0
amidinotransferase;Amino Acid, Peptide, or Protein, Enzyme;4;0
ketimine reductase;Amino Acid, Peptide, or Protein, Enzyme;4;0
fibrolase;Amino Acid, Peptide, or Protein, Enzyme;4;0
CytR protein, E coli;Amino Acid, Peptide, or Protein;4;0
cystic fibrosis serum factor;Amino Acid, Peptide, or Protein, Immunologic Factor;4;0
galactoxylomannan;Carbohydrate;4;0
Crk-Associated Substrate Protein;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
protein tyrosine kinase brk, human;Amino Acid, Peptide, or Protein, Enzyme;4;0
peroxyacetyl nitrate;Organic Chemicals;4;0
GW 5074;Organic Chemicals;4;0
Perfadex;Organic Chemicals;4;0
antagonist G;Amino Acid, Peptide, or Protein, Pharmacologic Substance;4;0
glucose pentaacetate;Carbohydrate, Biologically Active Substance;4;0
homologous restriction factor;Amino Acid, Peptide, or Protein, Pharmacologic Substance, Immunologic Factor;4;0
Neurocalcin;Amino Acid, Peptide, or Protein, Receptor;4;0
dendrophenol;Organic Chemicals, Biologically Active Substance;4;0
PPI 2458;Amino Acid, Peptide, or Protein, Pharmacologic Substance;4;0
Testolactone;Steroid, Pharmacologic Substance, Hormone;4;0
RNA triphosphatase;Amino Acid, Peptide, or Protein, Enzyme;4;0
Taurine Lithocholate;Steroid, Pharmacologic Substance, Biologically Active Substance;4;0
DNA, Superhelical;Nucleic Acid, Nucleoside, or Nucleotide;4;0
Arbutin;Carbohydrate, Pharmacologic Substance;4;0
Gallotannins;Organic Chemicals;4;0
Glucose Transporter Type 5;Amino Acid, Peptide, or Protein;4;0
macrogolgin;Amino Acid, Peptide, or Protein, Immunologic Factor;4;0
leucomyosuppressin;Amino Acid, Peptide, or Protein, Neuroreactive Substance or Biogenic Amine;4;0
Polymorphonuclear neutrophil elastase;Amino Acid, Peptide, or Protein, Enzyme;4;0
single stranded DNA dependent ATPase;Amino Acid, Peptide, or Protein, Enzyme;4;0
glutamine analog;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
plastoquinol;Organic Chemicals;4;0
alpha-aminoisobutyrate;Amino Acid, Peptide, or Protein, Biologically Active Substance;4;0
gamma-Glu-Asp;Amino Acid, Peptide, or Protein;4;0
DOV 216303;Organic Chemicals;4;0
